Net:1.88958546171, Trade:6.08260913203, Cost:4.19302367032, Trades/Day:62.8235294118, et:0, leb:2, bs:4, ueb:6,
Net:1.91951913647, Trade:5.88733460764, Cost:3.96781547117, Trades/Day:54.268907563, et:0, leb:2, bs:5, ueb:6,
Net:1.92080167759, Trade:5.80945723517, Cost:3.88865555759, Trades/Day:51.0420168067, et:0, leb:2, bs:6, ueb:6,
Net:1.89811196823, Trade:5.77008485483, Cost:3.8719728866, Trades/Day:50.2016806723, et:0, leb:2, bs:7, ueb:6,
Net:1.90197720964, Trade:5.76028160919, Cost:3.85830439955, Trades/Day:49.6974789916, et:0, leb:2, bs:8, ueb:6,
Net:1.89654889662, Trade:5.75250829325, Cost:3.85595939663, Trades/Day:49.5546218487, et:0, leb:2, bs:9, ueb:6,
Net:1.89944481234, Trade:5.75484694812, Cost:3.85540213578, Trades/Day:49.5294117647, et:0, leb:2, bs:10, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:0, leb:2, bs:11, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:0, leb:2, bs:12, ueb:6,
Net:1.88908654263, Trade:6.17843658306, Cost:4.28935004043, Trades/Day:66.3781512605, et:1, leb:2, bs:2, ueb:6,
Net:1.89190837412, Trade:5.7962633259, Cost:3.90435495178, Trades/Day:51.4537815126, et:1, leb:2, bs:3, ueb:6,
Net:1.89235677808, Trade:5.75532783926, Cost:3.86297106119, Trades/Day:49.7478991597, et:1, leb:2, bs:4, ueb:6,
Net:1.89790770288, Trade:5.75412491772, Cost:3.85621721485, Trades/Day:49.5462184874, et:1, leb:2, bs:5, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:1, leb:2, bs:6, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:1, leb:2, bs:7, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:1, leb:2, bs:8, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:1, leb:2, bs:9, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:1, leb:2, bs:10, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:1, leb:2, bs:11, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:1, leb:2, bs:12, ueb:6,
Net:1.93218094876, Trade:5.81010986289, Cost:3.87792891412, Trades/Day:50.4117647059, et:2, leb:2, bs:1, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:2, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:3, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:4, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:5, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:6, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:7, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:8, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:9, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:10, ueb:6,
